trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
268,False,"{'a': 0.5, 'e': 0.069252225309346}",30,11,27.96021609567367,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.06856315415427791}",20,4,24.026408237624366,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06788093937176144}",25,14,21.352049848706038,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,14,11.615575438360366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06653680671501686}",30,18,23.129582580845547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.06587475442640295}",30,15,21.811214391266976,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06521928966812753}",30,21,17.15641693577893,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.06457034689316847}",35,15,38.89283414187809,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.06392786120670757}",20,9,-2.1712826368925744,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.0632917683596407}",25,8,-10.668353431619185,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
278,False,"{'a': 0.5, 'e': 0.06266200474215315}",20,12,13.805807491620552,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.06203850737735829}",20,11,16.113872261004786,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.06142121391500013}",25,15,17.02552230231889,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,10,20.01464111528912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
